errortype,severity,phase,nodetype,nodepattern,message,sigil
EXPECT_SUPERCLASS_METHOD_NAME,ERROR,,,(SUPER DOT),Expect superclass name.,
EXPECT_DOT_AFTER_SUPER,ERROR,,,(SUPER),Expect '.' after 'super'.,
SYNCHRONIZE,ERROR,,,(?!SEMICOLON|CLASS|FUNCTION|LET|FOR|IF|WHILE|PRINT|RETURN)[A-Z_]+,,
ADD_OPERATOR_TYPE_MISMATCH,ERROR,,,,Operands must be two numbers or two strings.,
ARGUMENT_NOT_SUPPORTED,ERROR,,,,"argument to `FunctionName` not supported, got ArgumentType",
CANNOT_RETURN_FROM_TOP_LEVEL,ERROR,,,,Cannot return from top-level code.,
CAN_ONLY_CALL_FUNCTIONS_AND_CLASSES,ERROR,,,,Can only call functions and classes.,
EXPECT_EXPRESSION,ERROR,,,,Expect expression.,
ILLEGAL,ERROR,,,,Unexpected character.,
INFIX_OPERATOR_DOES_NOT_EXIST,ERROR,,,,Operands must be two numbers or two strings.,
INFIX_OPERATOR_TYPE_MISMATCH,ERROR,,,,Operands must be numbers.,
LOCAL_VAR_IN_OWN_INITIALIZER,ERROR,,,,Cannot read local variable in its own initializer.,
ONLY_INSTANCES_HAVE_FIELDS,ERROR,,,,Only instances have fields.,
ONLY_INSTANCES_HAVE_PROPERTIES,ERROR,,,,Only instances have properties.,
PREFIX_OPERATOR_DOES_NOT_EXIST,ERROR,,,,Operand must be a number.,
REDECLARED_GLOBAL_VARIABLE,NOTICE,,,,,
REDECLARED_VARIABLE,ERROR,,,,Variable with this name already declared in this scope.,
SUPERCLASS_MUST_BE_CLASS,ERROR,,,,Superclass must be a class.,
SUPER_IN_CLASS_WITHOUT_SUPERCLASS,ERROR,,,,Cannot use 'super' in a class with no superclass.,
SUPER_OUTSIDE_CLASS,ERROR,,,,Cannot use 'super' outside of a class.,
THIS_OUTSIDE_CLASS,ERROR,,,,Cannot use 'this' outside of a class.,
TOO_MANY_ARGUMENTS,ERROR,,,,Cannot have more than MaxParameters arguments.,
TOO_MANY_PARAMETERS,ERROR,,,,Cannot have more than MaxParameters parameters.,
UNDEFINED_GLOBAL_VARIABLE,WARNING,,,,,
UNDEFINED_PROPERTY,ERROR,,,,Undefined property 'PropertyName'.,
UNDEFINED_VARIABLE,WARNING,,,,,
UNDEFINED_VARIABLE_RUNTIME,ERROR,,,,Undefined variable 'IdentifierName'.,
UNEXPECTED_ARGUMENT,ERROR,,,,"argument to `FunctionName` must be Want, got Got",
WRONG_NUMBER_OF_ARGUMENTS,ERROR,,,,Expected Want arguments but got Got.,
